crop_name,botanical_name,crop_type,season,duration_days,ideal_soil,soil_ph_min,soil_ph_max,temp_min_c,temp_max_c,rainfall_mm,water_need_mm,major_states,seed_rate_kg_per_ha,spacing_cm,avg_yield_tonnes_per_ha,msp_per_quintal_inr,common_diseases,common_pests,irrigation_method,npk_ratio
Rice (Paddy),Oryza sativa,Cereal,Kharif,120-150,"Clay loam, silty clay",5.5,6.5,20,35,1000-2000,1200-2000,"West Bengal, Punjab, UP, AP, TN",20-25,20x15,3.5-5.0,2300,"Rice Blast, Brown Spot, Bacterial Leaf Blight","Brown Planthopper, Stem Borer, Leaf Folder",Flood/SRI,120:60:40
Wheat (Gehu),Triticum aestivum,Cereal,Rabi,110-140,"Loam to clay loam, well-drained",6.0,7.5,10,25,300-600,400-550,"Punjab, Haryana, UP, MP, Rajasthan, Bihar",100-125,20-22 rows,3.0-6.5,2425,"Karnal Bunt, Leaf Rust, Stripe Rust, Fusarium Wilt","Aphids, Termites, Army Worm",Flood/Sprinkler,120-150:40-60:40-60
Maize (Makka),Zea mays,Cereal,Kharif+Rabi,90-120,"Deep, well-drained loamy soils",5.5,7.5,20,32,500-800,500-800,"Karnataka, AP, Telangana, Maharashtra, Rajasthan, Bihar, UP",12-25,60-75x20-30,2.5-9.0,2225,"Turcicum Leaf Blight, Downy Mildew, Stalk Rot, Ear Rot","Fall Armyworm, Stem Borer, Shoot Fly",Sprinkler/Furrow,120-180:40-80:60-80
Jowar (Sorghum),Sorghum bicolor,Cereal,Kharif+Rabi,90-120,"Well-drained loams to clay loams",6.0,8.0,25,35,400-700,350-500,"Maharashtra, Karnataka, Rajasthan, TN, AP, MP",8-12,45x15,1.0-3.5,3371,"Grain Mould, Charcoal Rot, Anthracnose","Stem Borer, Shoot Fly, Midge",Rainfed/Furrow,40-80:40-60:40-60
Bajra (Pearl Millet),Pennisetum glaucum,Cereal,Kharif,70-90,"Sandy loam to loam, well-drained",6.5,8.0,25,35,250-500,350-500,"Rajasthan, Gujarat, Haryana, UP, Maharashtra, Karnataka",3-5,45x15,1.0-3.0,2625,"Downy Mildew, Ergot, Smut","Stem Borer, Shoot Fly, Head Bug",Rainfed,40-60:20-30:20-30
Barley (Jau),Hordeum vulgare,Cereal,Rabi,110-140,"Well-drained loamy to sandy loam",6.0,8.0,10,25,250-500,300-450,"Rajasthan, UP, MP, Haryana, Punjab, Bihar",75-100,22x5,2.0-4.0,1980,"Stripe Rust, Net Blotch, Smut, Powdery Mildew","Aphids, Termites, Army Worm",Flood/Sprinkler,60-80:30-40:30-40
Ragi (Finger Millet),Eleusine coracana,Cereal,Kharif,70-110,"Well-drained loams, red soils, shallow soils",5.5,7.5,20,30,300-600,350-500,"Karnataka, TN, AP, Maharashtra, Odisha, Jharkhand, Uttarakhand",8-12,30-45x10-15,1.0-4.0,4290,"Blast, Smut, Downy Mildew","Stem Borer, Shoot Fly, Army Worm",Rainfed/Sprinkler,20-40:20-40:20-40
Small Millets (Foxtail/Kodo/Barnyard),Setaria/Paspalum/Echinochloa spp.,Cereal,Kharif,60-90,"Light to medium loamy soils, tolerates poor soils",5.0,7.5,20,30,400-600,300-400,"Karnataka, TN, AP, Chhattisgarh, MP, Gujarat",8-10,25-30x8-10,0.8-1.5,3500,"Blast, Smut, Rust","Shoot Fly, Stem Borer",Rainfed,20-30:20-30:20-30
Chickpea (Chana),Cicer arietinum,Pulse,Rabi,90-130,"Well-drained loamy to clay soils",6.0,8.0,10,30,300-600,250-400,"MP, Rajasthan, Maharashtra, UP, Karnataka, AP",60-80,30x10,0.8-2.5,5650,"Fusarium Wilt, Ascochyta Blight, Dry Root Rot, Collar Rot","Pod Borer (Helicoverpa), Cut Worm, Bruchid",Rainfed/Sprinkler,20:40-60:20
Pigeon Pea (Tur/Arhar),Cajanus cajan,Pulse,Kharif,140-180,"Well-drained loams, tolerates shallow soils",6.0,7.5,20,35,500-900,350-500,"Maharashtra, Karnataka, AP, UP, MP, Rajasthan, Gujarat",12-20,45-60x20-30,0.6-2.5,7550,"Sterility Mosaic, Fusarium Wilt, Phytophthora Blight","Pod Borer, Pod Fly, Maruca",Rainfed/Furrow,20-40:40-60:20-40
Green Gram (Moong),Vigna radiata,Pulse,Kharif+Summer,60-90,"Well-drained loamy soils",6.0,7.5,25,35,400-600,250-400,"Rajasthan, Maharashtra, MP, Karnataka, AP, TN",15-20,30x10,0.5-1.5,8682,"Yellow Mosaic Virus, Cercospora Leaf Spot, Powdery Mildew","Pod Borer, Whitefly, Aphids",Rainfed/Sprinkler,20:40:20
Black Gram (Urad),Vigna mungo,Pulse,Kharif,70-120,"Well-drained loamy soils",6.0,7.5,25,35,400-700,300-450,"Maharashtra, Karnataka, MP, UP, AP, Bihar, TN",10-20,30-40x10-15,0.5-2.5,7400,"Powdery Mildew, Cercospora Leaf Spot, Yellow Mosaic Virus","Pod Borer, Whitefly, Aphids",Rainfed/Sprinkler,10-20:30-40:10-20
Lentil (Masoor),Lens culinaris,Pulse,Rabi,90-130,"Well-drained loamy soils",6.0,8.0,10,28,250-500,200-350,"MP, UP, Bihar, WB, Jharkhand, Chhattisgarh",30-40,25-30x10,0.6-1.5,6700,"Rust, Wilt, Root Rot, Stemphylium Blight","Pod Borer, Aphids, Bruchid",Rainfed/Sprinkler,20:40:20
Peas (Matar),Pisum sativum,Pulse,Rabi,90-120,"Well-drained loamy soils rich in organic matter",6.0,7.5,10,20,400-600,350-500,"UP, MP, Bihar, Jharkhand, HP, Uttarakhand",80-100,30x10,0.8-1.5,6500,"Powdery Mildew, Rust, Root Rot, Fusarium Wilt","Pod Borer, Aphids, Leaf Miner",Sprinkler/Furrow,20-30:40-60:20-30
Horse Gram (Kulthi),Macrotyloma uniflorum,Pulse,Kharif,120-150,"Well-drained sandy loam, tolerates poor soils",5.5,7.5,20,30,400-600,300-400,"Karnataka, AP, TN, Odisha, Chhattisgarh, Jharkhand",15-20,30x10,0.3-0.8,5200,"Powdery Mildew, Leaf Spot, Anthracnose","Pod Borer, Aphids",Rainfed,10-20:20-30:10-20
